InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
scaleway_H100,H100,1.0,24.0,240,3.08,paris-france-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 245760}}], 'TotalGpuMemoryInMiB': 245760}",
scaleway_H100,H100,1.0,24.0,240,3.08,warsaw-poland-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 245760}}], 'TotalGpuMemoryInMiB': 245760}",
massedcompute_H100,H100,1.0,20.0,128,2.98,desmoines-usa-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 131072}}], 'TotalGpuMemoryInMiB': 131072}",
scaleway_H100x2,H100,2.0,48.0,480,6.08,paris-france-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 491520}}], 'TotalGpuMemoryInMiB': 491520}",
scaleway_H100x2,H100,2.0,48.0,480,6.08,warsaw-poland-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 491520}}], 'TotalGpuMemoryInMiB': 491520}",
crusoe_A100_80Gx4,A100_80G,4.0,48.0,480,6.6,culpeper-usa-1,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 491520}}], 'TotalGpuMemoryInMiB': 491520}",
crusoe_A100_80Gx8,A100_80G,8.0,96.0,960,13.2,culpeper-usa-1,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 983040}}], 'TotalGpuMemoryInMiB': 983040}",
hyperstack_H100x8,H100,8.0,252.0,1440,15.2,montreal-canada-2,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1474560}}], 'TotalGpuMemoryInMiB': 1474560}",
hyperstack_A100_80Gx2,A100_80G,2.0,60.0,240,2.7,montreal-canada-2,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 245760}}], 'TotalGpuMemoryInMiB': 245760}",
hyperstack_H100x4,H100,4.0,124.0,720,7.6,montreal-canada-2,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 737280}}], 'TotalGpuMemoryInMiB': 737280}",
hyperstack_A100_80Gx4,A100_80G,4.0,124.0,480,5.4,montreal-canada-2,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 491520}}], 'TotalGpuMemoryInMiB': 491520}",
hyperstack_A100_80Gx8,A100_80G,8.0,252.0,1440,10.8,montreal-canada-2,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1474560}}], 'TotalGpuMemoryInMiB': 1474560}",
scaleway_L40S,L40S,1.0,8.0,96,1.61,paris-france-1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
scaleway_L40S,L40S,1.0,8.0,96,1.61,warsaw-poland-1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
lambdalabs_H100_sxm5,H100,1.0,26.0,225,3.29,dallas-usa-3,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 230400}}], 'TotalGpuMemoryInMiB': 230400}",
lambdalabs_H100_sxm5,H100,1.0,26.0,225,3.29,austin-usa-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 230400}}], 'TotalGpuMemoryInMiB': 230400}",
datacrunch_H200,H200,1.0,44.0,185,3.37,helsinki-finland-2,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 189440}}], 'TotalGpuMemoryInMiB': 189440}",
datacrunch_H200,H200,1.0,44.0,185,3.37,reykjanesbaer-iceland-1,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 189440}}], 'TotalGpuMemoryInMiB': 189440}",
lambdalabs_H100_sxm5x2,H100,2.0,52.0,450,6.38,dallas-usa-3,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 460800}}], 'TotalGpuMemoryInMiB': 460800}",
lambdalabs_H100_sxm5x2,H100,2.0,52.0,450,6.38,austin-usa-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 460800}}], 'TotalGpuMemoryInMiB': 460800}",
nebius_H100_sxm5x8_NVLINK,H100,8.0,128.0,1600,23.99,helsinki-finland-3,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1638400}}], 'TotalGpuMemoryInMiB': 1638400}",
nebius_H100_sxm5,H100,1.0,16.0,200,3.06,helsinki-finland-3,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
nebius_H200_sxm5x8_NVLINK,H200,8.0,128.0,1600,28.44,helsinki-finland-3,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1638400}}], 'TotalGpuMemoryInMiB': 1638400}",
nebius_H200_sxm5x8_NVLINK,H200,8.0,128.0,1600,28.44,paris-france-2,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1638400}}], 'TotalGpuMemoryInMiB': 1638400}",
nebius_H200_sxm5x8_NVLINK,H200,8.0,128.0,1600,28.44,kansascity-usa-3,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1638400}}], 'TotalGpuMemoryInMiB': 1638400}",
